RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr41,acetic-acid,,-5,
AgOr42,acetic-acid,,-9,
AgOr43,acetic-acid,,-11,
AgOr44,acetic-acid,,-5,
AgOr45,acetic-acid,,-1,
AgOr46,acetic-acid,,28,
AgOr48,acetic-acid,,4,
AgOr50,acetic-acid,,22,
AgOr53,acetic-acid,,-1,
AgOr54,acetic-acid,,-7,
AgOr56,acetic-acid,,1,
AgOr57,acetic-acid,,0,
AgOr59,acetic-acid,,1,
AgOr61,acetic-acid,,1,
AgOr63,acetic-acid,,6,
AgOr64,acetic-acid,,-1,
AgOr65,acetic-acid,,1,
AgOr66,acetic-acid,,-14,
AgOr67,acetic-acid,,-8,
AgOr73,acetic-acid,,1,
AgOr75,acetic-acid,,-4,
AgOr76,acetic-acid,,0,
AgOr1,propanoic-acid,,-6,
AgOr2,propanoic-acid,,4,
AgOr3,propanoic-acid,,-3,
AgOr4,propanoic-acid,,6,
AgOr5,propanoic-acid,,1,
AgOr6,propanoic-acid,,2,
AgOr8,propanoic-acid,,-5,
AgOr9,propanoic-acid,,2,
AgOr10,propanoic-acid,,4,
AgOr11,propanoic-acid,,-4,
AgOr12,propanoic-acid,,-8,
AgOr13,propanoic-acid,,-1,
AgOr15,propanoic-acid,,0,
AgOr16,propanoic-acid,,0,
AgOr18,propanoic-acid,,3,
AgOr20,propanoic-acid,,-4,
AgOr21,propanoic-acid,,3,
AgOr23,propanoic-acid,,1,
AgOr25,propanoic-acid,,-11,
AgOr26,propanoic-acid,,3,
AgOr27,propanoic-acid,,1,
AgOr30,propanoic-acid,,2,
AgOr31,propanoic-acid,,2,
AgOr32,propanoic-acid,,0,
AgOr33,propanoic-acid,,-17,
AgOr35,propanoic-acid,,-20,
AgOr38,propanoic-acid,,-7,
AgOr39,propanoic-acid,,5,
AgOr41,propanoic-acid,,-16,
AgOr42,propanoic-acid,,-4,
AgOr43,propanoic-acid,,-9,
AgOr44,propanoic-acid,,-3,
AgOr45,propanoic-acid,,-3,
AgOr46,propanoic-acid,,40,
AgOr48,propanoic-acid,,-2,
AgOr50,propanoic-acid,,35,
AgOr53,propanoic-acid,,-2,
AgOr54,propanoic-acid,,-26,
AgOr56,propanoic-acid,,4,
AgOr57,propanoic-acid,,-3,
AgOr59,propanoic-acid,,-6,
AgOr61,propanoic-acid,,-1,
AgOr63,propanoic-acid,,-4,
AgOr64,propanoic-acid,,-5,
AgOr65,propanoic-acid,,4,
AgOr66,propanoic-acid,,-19,
AgOr67,propanoic-acid,,-9,
AgOr73,propanoic-acid,,2,
AgOr75,propanoic-acid,,-9,
AgOr76,propanoic-acid,,0,
AgOr1,butanoic-acid,,-6,
AgOr2,butanoic-acid,,-4,
AgOr3,butanoic-acid,,-4,
AgOr4,butanoic-acid,,6,
AgOr5,butanoic-acid,,0,
AgOr6,butanoic-acid,,1,
AgOr8,butanoic-acid,,-4,
AgOr9,butanoic-acid,,2,
AgOr10,butanoic-acid,,-3,
AgOr11,butanoic-acid,,0,
AgOr12,butanoic-acid,,-2,
AgOr13,butanoic-acid,,-3,
AgOr15,butanoic-acid,,2,
AgOr16,butanoic-acid,,-1,
AgOr18,butanoic-acid,,-5,
AgOr20,butanoic-acid,,7,
AgOr21,butanoic-acid,,11,
AgOr23,butanoic-acid,,-1,
AgOr25,butanoic-acid,,-8,
AgOr26,butanoic-acid,,1,
AgOr27,butanoic-acid,,4,
AgOr30,butanoic-acid,,-1,
AgOr31,butanoic-acid,,9,
AgOr32,butanoic-acid,,-7,
AgOr33,butanoic-acid,,-11,
AgOr35,butanoic-acid,,-9,
AgOr38,butanoic-acid,,-3,
AgOr39,butanoic-acid,,7,
AgOr41,butanoic-acid,,-10,
AgOr42,butanoic-acid,,-5,
AgOr43,butanoic-acid,,-14,
AgOr44,butanoic-acid,,3,
AgOr45,butanoic-acid,,-6,
AgOr46,butanoic-acid,,39,
AgOr48,butanoic-acid,,-2,
AgOr50,butanoic-acid,,40,
AgOr53,butanoic-acid,,0,
AgOr54,butanoic-acid,,-29,
AgOr56,butanoic-acid,,-2,
AgOr57,butanoic-acid,,-2,
AgOr59,butanoic-acid,,-6,
AgOr61,butanoic-acid,,4,
AgOr63,butanoic-acid,,1,
AgOr64,butanoic-acid,,0,
AgOr65,butanoic-acid,,-2,
AgOr66,butanoic-acid,,-12,
AgOr67,butanoic-acid,,-14,
AgOr73,butanoic-acid,,3,
AgOr75,butanoic-acid,,-1,
AgOr76,butanoic-acid,,1,
AgOr1,pentanoic-acid,,-2,
AgOr2,pentanoic-acid,,4,
AgOr3,pentanoic-acid,,2,
AgOr4,pentanoic-acid,,8,
AgOr5,pentanoic-acid,,0,
AgOr6,pentanoic-acid,,0,
AgOr8,pentanoic-acid,,1,
AgOr9,pentanoic-acid,,0,
AgOr10,pentanoic-acid,,-2,
AgOr11,pentanoic-acid,,2,
AgOr12,pentanoic-acid,,1,
AgOr13,pentanoic-acid,,-3,
AgOr15,pentanoic-acid,,4,
AgOr16,pentanoic-acid,,0,
AgOr18,pentanoic-acid,,2,
AgOr20,pentanoic-acid,,6,
AgOr21,pentanoic-acid,,3,
AgOr23,pentanoic-acid,,0,
AgOr25,pentanoic-acid,,4,
AgOr26,pentanoic-acid,,1,
AgOr27,pentanoic-acid,,3,
AgOr30,pentanoic-acid,,0,
AgOr31,pentanoic-acid,,7,
AgOr32,pentanoic-acid,,6,
AgOr33,pentanoic-acid,,0,
AgOr35,pentanoic-acid,,-1,
AgOr38,pentanoic-acid,,-1,
AgOr39,pentanoic-acid,,17,
AgOr41,pentanoic-acid,,-2,
AgOr42,pentanoic-acid,,1,
AgOr43,pentanoic-acid,,-5,
AgOr44,pentanoic-acid,,0,
AgOr45,pentanoic-acid,,-2,
AgOr46,pentanoic-acid,,46,
AgOr48,pentanoic-acid,,0,
AgOr50,pentanoic-acid,,24,
AgOr53,pentanoic-acid,,1,
AgOr54,pentanoic-acid,,0,
AgOr56,pentanoic-acid,,3,
AgOr57,pentanoic-acid,,4,
AgOr59,pentanoic-acid,,7,
AgOr61,pentanoic-acid,,2,
AgOr63,pentanoic-acid,,0,
AgOr64,pentanoic-acid,,3,
AgOr65,pentanoic-acid,,0,
AgOr66,pentanoic-acid,,-1,
AgOr67,pentanoic-acid,,-10,
AgOr73,pentanoic-acid,,-1,
AgOr75,pentanoic-acid,,1,
AgOr76,pentanoic-acid,,1,
AgOr1,hexanoic-acid,,-7,
AgOr2,hexanoic-acid,,7,
AgOr3,hexanoic-acid,,-3,
AgOr4,hexanoic-acid,,11,
AgOr5,hexanoic-acid,,-9,
AgOr6,hexanoic-acid,,4,
AgOr8,hexanoic-acid,,-4,
AgOr9,hexanoic-acid,,7,
AgOr10,hexanoic-acid,,-1,
AgOr11,hexanoic-acid,,2,
AgOr12,hexanoic-acid,,6,
AgOr13,hexanoic-acid,,-7,
AgOr15,hexanoic-acid,,24,
AgOr16,hexanoic-acid,,2,
AgOr18,hexanoic-acid,,4,
AgOr20,hexanoic-acid,,-4,
AgOr21,hexanoic-acid,,1,
AgOr23,hexanoic-acid,,1,
AgOr25,hexanoic-acid,,-11,
AgOr26,hexanoic-acid,,4,
AgOr27,hexanoic-acid,,12,
AgOr30,hexanoic-acid,,0,
AgOr31,hexanoic-acid,,-1,
AgOr32,hexanoic-acid,,-5,
AgOr33,hexanoic-acid,,-16,
AgOr35,hexanoic-acid,,-15,
AgOr38,hexanoic-acid,,-4,
AgOr39,hexanoic-acid,,31,
AgOr41,hexanoic-acid,,-11,
AgOr42,hexanoic-acid,,-11,
AgOr43,hexanoic-acid,,-21,
AgOr44,hexanoic-acid,,-10,
AgOr45,hexanoic-acid,,-8,
AgOr46,hexanoic-acid,,4,
AgOr48,hexanoic-acid,,-5,
AgOr50,hexanoic-acid,,7,
AgOr53,hexanoic-acid,,-1,
AgOr54,hexanoic-acid,,-21,
AgOr56,hexanoic-acid,,-12,
AgOr57,hexanoic-acid,,1,
AgOr59,hexanoic-acid,,-6,
AgOr61,hexanoic-acid,,0,
AgOr63,hexanoic-acid,,0,
AgOr64,hexanoic-acid,,-7,
AgOr65,hexanoic-acid,,-2,
AgOr66,hexanoic-acid,,-13,
AgOr67,hexanoic-acid,,-17,
AgOr73,hexanoic-acid,,-6,
AgOr75,hexanoic-acid,,-12,
AgOr76,hexanoic-acid,,0,
AgOr1,heptanoic-acid,,1,
AgOr2,heptanoic-acid,,2,
AgOr3,heptanoic-acid,,4,
AgOr4,heptanoic-acid,,3,
AgOr5,heptanoic-acid,,7,
AgOr6,heptanoic-acid,,-1,
AgOr8,heptanoic-acid,,-2,
AgOr9,heptanoic-acid,,0,
AgOr10,heptanoic-acid,,0,
AgOr11,heptanoic-acid,,1,
AgOr12,heptanoic-acid,,3,
AgOr13,heptanoic-acid,,-1,
AgOr15,heptanoic-acid,,1,
AgOr16,heptanoic-acid,,0,
AgOr18,heptanoic-acid,,0,
AgOr20,heptanoic-acid,,-1,
AgOr21,heptanoic-acid,,1,
AgOr23,heptanoic-acid,,0,
AgOr25,heptanoic-acid,,-1,
AgOr26,heptanoic-acid,,4,
AgOr27,heptanoic-acid,,1,
AgOr30,heptanoic-acid,,4,
AgOr31,heptanoic-acid,,6,
AgOr32,heptanoic-acid,,4,
AgOr33,heptanoic-acid,,-1,
AgOr35,heptanoic-acid,,0,
AgOr38,heptanoic-acid,,3,
AgOr39,heptanoic-acid,,-1,
AgOr41,heptanoic-acid,,1,
AgOr42,heptanoic-acid,,-2,
AgOr43,heptanoic-acid,,-7,
AgOr44,heptanoic-acid,,0,
AgOr45,heptanoic-acid,,0,
AgOr46,heptanoic-acid,,0,
AgOr48,heptanoic-acid,,0,
AgOr50,heptanoic-acid,,9,
AgOr53,heptanoic-acid,,1,
AgOr54,heptanoic-acid,,0,
AgOr56,heptanoic-acid,,-3,
AgOr57,heptanoic-acid,,-2,
AgOr59,heptanoic-acid,,3,
AgOr61,heptanoic-acid,,0,
AgOr63,heptanoic-acid,,-2,
AgOr64,heptanoic-acid,,-3,
AgOr65,heptanoic-acid,,0,
AgOr66,heptanoic-acid,,1,
AgOr67,heptanoic-acid,,-2,
AgOr73,heptanoic-acid,,-2,
AgOr75,heptanoic-acid,,2,
AgOr76,heptanoic-acid,,0,
AgOr1,octanoic-acid,,-8,
AgOr2,octanoic-acid,,0,
AgOr3,octanoic-acid,,1,
AgOr4,octanoic-acid,,-1,
AgOr5,octanoic-acid,,-6,
AgOr6,octanoic-acid,,1,
AgOr8,octanoic-acid,,-4,
AgOr9,octanoic-acid,,0,
AgOr10,octanoic-acid,,0,
AgOr11,octanoic-acid,,2,
AgOr12,octanoic-acid,,-4,
AgOr13,octanoic-acid,,1,
AgOr15,octanoic-acid,,1,
AgOr16,octanoic-acid,,-1,
AgOr18,octanoic-acid,,-4,
AgOr20,octanoic-acid,,-5,
AgOr21,octanoic-acid,,2,
AgOr23,octanoic-acid,,2,
AgOr25,octanoic-acid,,-3,
AgOr26,octanoic-acid,,2,
AgOr27,octanoic-acid,,-2,
AgOr30,octanoic-acid,,1,
AgOr31,octanoic-acid,,0,
AgOr32,octanoic-acid,,-1,
AgOr33,octanoic-acid,,-9,
AgOr35,octanoic-acid,,-10,
AgOr38,octanoic-acid,,-6,
AgOr39,octanoic-acid,,-2,
AgOr41,octanoic-acid,,-5,
AgOr42,octanoic-acid,,-2,
AgOr43,octanoic-acid,,-10,
AgOr44,octanoic-acid,,-2,
AgOr45,octanoic-acid,,-5,
AgOr46,octanoic-acid,,0,
AgOr48,octanoic-acid,,-2,
AgOr50,octanoic-acid,,2,
AgOr53,octanoic-acid,,-1,
AgOr54,octanoic-acid,,-10,
AgOr56,octanoic-acid,,-6,
AgOr57,octanoic-acid,,0,
AgOr59,octanoic-acid,,-7,
AgOr61,octanoic-acid,,1,
AgOr63,octanoic-acid,,4,
AgOr64,octanoic-acid,,-4,
AgOr65,octanoic-acid,,0,
AgOr66,octanoic-acid,,-7,
AgOr67,octanoic-acid,,-4,
AgOr73,octanoic-acid,,-4,
AgOr75,octanoic-acid,,-6,
AgOr76,octanoic-acid,,0,
AgOr1,nonanoic-acid,,-5,
AgOr2,nonanoic-acid,,3,
AgOr3,nonanoic-acid,,0,
AgOr4,nonanoic-acid,,1,
AgOr5,nonanoic-acid,,-2,
